"","Player","Team","MarketValue","Age","Matches","Contract","Goals","Assists","Minutes","Height","AtClub","BothFeet","OwnGoals","Yellow","YellowRed","Red","SubOn","SubOff","Position"
"277","Kevin Conboy","NEC Nijmegen",8e+05,26,33,1,4,3,2903,185,3,0,0,5,0,0,0,4,"Defender"
"278","Davy Pröpper","Vitesse",3500000,22,33,1,6,5,2878,185,5,0,0,3,0,0,1,3,"Midfielder"
"279","Edwin Gyasi","Heracles Almelo",6e+05,22,2,1,0,0,21,185,1,0,0,0,0,0,2,0,"Forward"
"280","Dion Malone","ADO Den Haag",450000,25,32,1,1,5,2810,185,2,0,0,5,1,0,0,2,"Defender"
"281","Cuco Martina","FC Twente Enschede",6e+05,24,16,2,1,0,1014,185,1,0,0,0,0,0,6,0,"Defender"
"282","Joey Suk","NAC Breda",5e+05,24,17,3,2,0,679,185,1,0,0,0,0,1,10,3,"Midfielder"
"283","Patrick ter Mate","Go Ahead Eagles Deventer",75000,22,1,0,0,0,90,185,3,0,0,0,0,0,0,0,"Goalkeeper"
"284","Mark Uth","Heracles Almelo",5e+05,22,28,0,8,3,2134,185,1,0,0,4,0,0,2,10,"Forward"
"285","Torgeir Börven","FC Twente Enschede",9e+05,22,12,4,3,1,482,185,0.5,0,0,0,0,0,9,1,"Forward"
"286","Juan Agudelo","FC Utrecht",1e+06,21,14,0,3,3,887,185,0.5,1,0,2,0,0,6,2,"Forward"
"287","Marten de Roon","sc Heerenveen",1e+06,23,31,1,3,0,2711,185,2,0,0,7,0,0,1,1,"Midfielder"
"288","Stefano Denswil","AFC Ajax",2500000,20,17,1,1,0,1351,185,2,0,1,1,0,0,2,1,"Defender"
"289","Davy Klaassen","AFC Ajax",3500000,21,26,4,10,3,2086,185,2,0,0,1,0,0,3,3,"Midfielder"
"290","Luka Djordjevic","FC Twente Enschede",1200000,19,14,0,0,2,233,185,1,1,0,2,0,0,13,1,"Forward"
"291","Tim Hölscher","FC Twente Enschede",5e+05,19,1,3,0,0,23,185,1,0,0,0,0,0,1,0,"Midfielder"
"292","Hans Hateboer","FC Groningen",1e+05,20,14,3,0,2,1194,185,2,0,1,4,0,1,1,0,"Defender"
"293","Michael Lamey","RKC Waalwijk",250000,34,15,1,1,0,988,186,2,0,0,5,0,0,4,2,"Defender"
"294","Michael Higdon","NEC Nijmegen",750000,30,32,1,14,7,2524,186,1,0,0,6,0,0,4,6,"Forward"
