FIPS,DemRep,state_abbr,Clinton,Trump,population2014,population2010,population_change,ageunder5,ageunder18,age65plus,femaleperc,white,black,native,asian,hawaiian,morerace,hispanic,whitealone,home1year,foreignborn,nonenglish,eduhighschool,edubachelor,veteranperc,traveltime,houses,houseown,housemulti,households,pphousehold,income,poverty,retailsales,landarea,density
6079,Dem,CA,50.72570992,42.19176032,279083,269593,3.5,4.8,18.1,17.5,49.1,89,2.2,1.4,3.8,0.2,3.4,0.22,69.5,78.9,10.4,18,89.6,31.5,7.612072394,21.1,119143,58.4,18.4,102154,2.5,29954,14.3,13559,3298.57,81.7
6081,Dem,CA,76.31156466,18.92618997,758581,718498,5.6,6.1,21.5,14.7,50.8,62.5,3,0.9,27.7,1.6,4.4,0.253,40.4,87.6,34,46,88.6,44.4,4.262168443,25.7,273539,59.4,33.2,257941,2.79,45732,7.6,14625,448.41,1602.2
6083,Dem,CA,60.96551052,32.72359704,440668,423939,3.9,6.4,22.4,14,49.9,85.9,2.4,2.2,5.7,0.2,3.5,0.444,45.9,79,23.4,40.2,79.1,31.3,5.923280111,19.4,154401,52.6,29.6,141720,2.89,30352,16,12443,2735.09,155
6085,Dem,CA,73.34801896,20.85297991,1894605,1781672,6.3,6.5,23.1,12.2,49.7,56.4,2.9,1.3,34.9,0.5,4,0.266,33.3,84.5,37.1,51.2,86.5,46.5,3.523109039,25,651156,57.5,33,609377,2.92,41513,10.2,15367,1290.1,1381
6087,Dem,CA,75.04691258,17.75894422,271804,262362,3.6,5.6,20.1,13.5,50.4,87.7,1.4,1.8,4.8,0.2,4.1,0.332,58.2,84.1,18.3,31,84.9,37,4.588232697,25.4,105275,58.8,20.4,93504,2.72,32295,14.6,14894,445.17,589.4
6089,Rep,CA,28.21484687,65.58838934,179804,177223,1.5,5.8,21.6,19.2,51,88.5,1.1,3.1,3,0.2,4.2,0.094,80.9,82.4,5.2,8.7,88.4,18.8,9.880202888,20.1,77915,64.2,16,68980,2.54,23670,17.5,14088,3775.4,46.9
6091,Rep,CA,33.31485588,58.09312639,3003,3240,-7.3,3.3,15.7,26.8,50,94.8,0.4,1.9,0.5,0.1,2.3,0.097,86.2,93.6,7.1,9.4,89.4,18.5,14.65201465,27.5,2341,77.8,4.2,1253,2.45,24996,19.4,0,953.21,3.4
6093,Rep,CA,35.82375479,56.52349264,43628,44900,-2.8,5.4,20.3,22.7,50.3,87.2,1.4,4.7,1.3,0.3,5,0.119,77.5,82.8,5.4,9.7,89,23.9,10.8737508,18.8,24106,62.7,13.4,19417,2.26,22293,21,9120,6277.89,7.2
6095,Dem,CA,62.08874132,31.96367406,431131,413344,4.3,6,22.9,13.5,50.3,60.6,14.8,1.3,15.6,1,6.7,0.256,39.6,82,20.1,29.6,87.2,24.3,8.106120877,28.9,154981,61.7,21.9,141464,2.85,28929,13,11892,821.77,503
6097,Dem,CA,70.72229672,22.80933805,500292,483880,3.4,5.3,20.6,16.7,51,87.4,1.9,2.2,4.3,0.4,3.8,0.261,64.6,85.3,16.6,25.5,86.7,32.2,6.626330223,25.3,207232,60.1,19.1,185660,2.57,32835,11.9,13929,1575.85,307.1
6099,Dem,CA,47.35399415,46.72699675,531997,514451,3.4,7.3,27.3,12.1,50.5,84.1,3.3,1.9,5.9,0.9,3.9,0.441,44.3,81.4,20.5,40.7,76.4,16.4,4.757733596,26.6,180278,58.1,16.8,166883,3.07,21663,20.3,11180,1494.83,344.2
6101,Rep,CA,38.88067304,55.14476322,95847,94737,1.2,6.7,26.4,14.5,50.3,74,2.5,2.3,16.5,0.4,4.3,0.299,47.8,82,22.7,37,78.3,18.7,7.032040648,27.4,34096,59.6,19.1,31725,2.95,23602,16.7,11644,602.41,157.3
6103,Rep,CA,28.72568306,65.49071038,63067,63461,-0.6,6.2,24,17.8,50.2,90.7,1,3.4,1.4,0.2,3.4,0.241,69.4,81.6,8.9,18.8,81.1,13.5,8.892130591,23.3,27239,67.5,9.4,23374,2.66,20439,19.7,12103,2949.71,21.5
6105,Rep,CA,39.77947413,51.08142494,13170,13786,-4.5,4.9,16.9,24,49,87.9,0.5,5.3,0.9,0.2,5.2,0.073,82.6,87.2,3.4,7.2,91.3,21.3,12.51328778,18.3,8784,71.2,5,5668,2.35,22905,19.2,4966,3179.25,4.3
6107,Rep,CA,40.30515214,54.83805901,458198,442182,3.6,8.9,31.6,10.4,49.9,88.3,2.2,2.8,4,0.2,2.4,0.629,30.3,84.9,22.8,49.2,68,13.3,3.991505856,21.3,145503,57.5,14.4,131642,3.35,17894,26.2,9373,4824.22,91.7
6109,Rep,CA,36.55419223,57.45569189,53831,55365,-2.8,4.2,16.8,23.5,47.8,90.8,2.1,2.2,1.3,0.2,3.3,0.115,81.1,84.8,4.8,7.6,89.1,19.5,9.984952908,25.1,31361,69.9,8.4,22025,2.31,25943,14.5,10460,2220.88,24.9
6111,Dem,CA,55.3749663,38.5746441,846178,823420,2.8,6.4,24.2,13.6,50.5,84.8,2.2,1.9,7.5,0.3,3.3,0.42,46.6,86.5,22.8,37.8,82.8,31.4,5.652947725,24.6,284504,64.9,21.1,267076,3.06,32930,11.1,14036,1843.13,446.7
